OTUID	TrophicMode
OTU10006	Pathotroph
OTU1004	Saprotroph
OTU10045	Symbiotroph
OTU10081	Pathotroph
OTU1009	Saprotroph
OTU101	Saprotroph
OTU10135	Symbiotroph
OTU10171	Symbiotroph
OTU10242	Symbiotroph
OTU10253	Saprotroph
OTU1026	Symbiotroph
OTU10282	Pathotroph
OTU10288	Symbiotroph
OTU10442	Saprotroph
OTU10466	Symbiotroph
OTU10491	Saprotroph
OTU10506	Pathotroph
OTU10516	Symbiotroph
OTU10572	Symbiotroph
OTU10626	Symbiotroph
OTU10637	Symbiotroph
OTU10657	Saprotroph
OTU10675	Symbiotroph
OTU10678	Symbiotroph
OTU10682	Pathotroph
OTU10739	Saprotroph
OTU10748	Symbiotroph
OTU108	Symbiotroph
OTU10849	Symbiotroph
OTU10857	Symbiotroph
OTU1086	Symbiotroph
OTU10905	Pathotroph
OTU10948	Symbiotroph
OTU10977	Saprotroph
OTU11	Symbiotroph
OTU11028	Symbiotroph
OTU11029	Symbiotroph
OTU11067	Symbiotroph
OTU1108	Symbiotroph
OTU11080	Symbiotroph
OTU11104	Symbiotroph
OTU1112	Symbiotroph
OTU1115	Symbiotroph
OTU11150	Symbiotroph
OTU11165	Symbiotroph
OTU11173	Symbiotroph
OTU11179	Symbiotroph
OTU11268	Symbiotroph
OTU1127	Symbiotroph
OTU1128	Symbiotroph
OTU11293	Symbiotroph
OTU11307	Symbiotroph
OTU11320	Symbiotroph
OTU1133	Symbiotroph
OTU11418	Symbiotroph
OTU11424	Symbiotroph
OTU11443	Pathotroph
OTU1149	Symbiotroph
OTU11498	Symbiotroph
OTU115	Symbiotroph
OTU1150	Symbiotroph
OTU11523	Symbiotroph
OTU11535	Symbiotroph
OTU11551	Symbiotroph
OTU11559	Symbiotroph
OTU11568	Symbiotroph
OTU11569	Symbiotroph
OTU11572	Symbiotroph
OTU1158	Symbiotroph
OTU11611	Symbiotroph
OTU11612	Symbiotroph
OTU1164	Symbiotroph
OTU11658	Symbiotroph
OTU11660	Symbiotroph
OTU11698	Symbiotroph
OTU11772	Symbiotroph
OTU11793	Symbiotroph
OTU1189	Pathotroph
OTU1191	Symbiotroph
OTU11912	Pathotroph-Saprotroph
OTU11926	Symbiotroph
OTU11939	Symbiotroph
OTU11968	Symbiotroph
OTU11975	Symbiotroph
OTU1199	Saprotroph
OTU1204	Saprotroph
OTU12050	Symbiotroph
OTU12138	Symbiotroph
OTU12169	Symbiotroph
OTU1218	Saprotroph
OTU12187	Saprotroph
OTU12191	Symbiotroph
OTU12200	Symbiotroph
OTU12220	Symbiotroph
OTU12222	Symbiotroph
OTU12225	Pathotroph
OTU12279	Symbiotroph
OTU12314	Pathotroph
OTU12351	Symbiotroph
OTU12358	Symbiotroph
OTU1238	Symbiotroph
OTU1239	Symbiotroph
OTU12421	Symbiotroph
OTU1245	Saprotroph
OTU12554	Symbiotroph
OTU12571	Symbiotroph
OTU12588	Symbiotroph
OTU1259	Symbiotroph
OTU12653	Symbiotroph
OTU12674	Symbiotroph
OTU12701	Symbiotroph
OTU12757	Symbiotroph
OTU12775	Symbiotroph
OTU12778	Symbiotroph
OTU12782	Symbiotroph
OTU12783	Symbiotroph
OTU12806	Symbiotroph
OTU1282	Symbiotroph
OTU1283	Symbiotroph
OTU12841	Symbiotroph
OTU12871	Symbiotroph
OTU12899	Symbiotroph
OTU12902	Saprotroph
OTU12928	Symbiotroph
OTU12938	Symbiotroph
OTU12939	Symbiotroph
OTU13	Symbiotroph
OTU13013	Symbiotroph
OTU13015	Symbiotroph
OTU13039	Symbiotroph
OTU13079	Symbiotroph
OTU13113	Symbiotroph
OTU13166	Pathotroph
OTU13187	Symbiotroph
OTU13190	Symbiotroph
OTU13201	Symbiotroph
OTU1325	Pathotroph-Saprotroph
OTU13289	Symbiotroph
OTU133	Saprotroph
OTU13311	Symbiotroph
OTU1334	Pathotroph
OTU13395	Symbiotroph
OTU13441	Pathotroph
OTU13454	Symbiotroph
OTU13478	Symbiotroph
OTU13496	Symbiotroph
OTU135	Saprotroph
OTU1355	Symbiotroph
OTU1361	Symbiotroph
OTU13645	Symbiotroph
OTU13657	Saprotroph
OTU13688	Pathotroph
OTU13738	Symbiotroph
OTU1376	Symbiotroph
OTU13764	Symbiotroph
OTU1383	Symbiotroph
OTU13858	Symbiotroph
OTU13862	Symbiotroph
OTU13902	Symbiotroph
OTU1392	Symbiotroph
OTU1395	Symbiotroph
OTU13950	Symbiotroph
OTU1410	Saprotroph
OTU14135	Symbiotroph
OTU14138	Symbiotroph
OTU14174	Symbiotroph
OTU14176	Symbiotroph
OTU142	Symbiotroph
OTU14254	Symbiotroph
OTU14258	Symbiotroph
OTU1427	Symbiotroph
OTU14276	Symbiotroph
OTU14277	Symbiotroph
OTU14337	Symbiotroph
OTU14364	Symbiotroph
OTU14394	Symbiotroph
OTU14485	Symbiotroph
OTU14501	Saprotroph
OTU1455	Symbiotroph
OTU14576	Symbiotroph
OTU146	Symbiotroph
OTU14616	Symbiotroph
OTU1462	Symbiotroph
OTU14633	Symbiotroph
OTU14642	Symbiotroph
OTU147	Symbiotroph
OTU14701	Symbiotroph
OTU14809	Symbiotroph
OTU14831	Symbiotroph
OTU14870	Symbiotroph
OTU14884	Symbiotroph
OTU14947	Symbiotroph
OTU14973	Symbiotroph
OTU15084	Symbiotroph
OTU15194	Symbiotroph
OTU152	Symbiotroph
OTU15209	Symbiotroph
OTU15269	Saprotroph
OTU15298	Symbiotroph
OTU15318	Symbiotroph
