SampleID	Latitude	Longitude	Island	plot	Island_ID	perimeter	area	logArea	Area.hu	Nearest_Island	Dis_Mainland	pH	AP	TP	TN	TOC	moisture	EC	Aal	Aca	AK	Amg
B6_1A	29.5249	118.9299667	B6	B6_1	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.18	3.24	0.191337974	1.497753977	26.721	0.153317227	78.4	958	41.3	62.7	15.4
B6_1B	29.52488333	118.9300694	B6	B6_1	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.12	4.016966068	0.201435584	1.796757585	29.90062832	0.175974441	82.8	965.7	114.5	58.9	25.1
B6_1C	29.52496944	118.9300889	B6	B6_1	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.01	3.617125984	0.25717365	1.714725414	30.3321499	0.142971995	60.4	1377.9	101.6	64	21.7
B6_1D	29.52498611	118.9299861	B6	B6_1	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.06	2.821782178	0.215094291	1.498212363	23.64676113	0.135490346	71.4	448.3	21.9	22.6	7.4
B6_2A	29.52467222	118.93175	B6	B6_2	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.27	4.462524655	0.316270506	1.978000553	31.96259915	0.134601579	62.3	769	44.3	57.1	28.4
B6_2B	29.52465	118.9318528	B6	B6_2	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.32	4.191616766	0.261083664	1.754477863	29.69227583	0.144238442	54.7	1112.9	119.8	75.9	45.6
B6_2C	29.52473611	118.9318778	B6	B6_2	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.11	3.125	0.253263291	1.746223547	28.24098901	0.182219107	64.8	1185.9	102.3	65.7	39.8
B6_2D	29.52475833	118.9317778	B6	B6_2	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.43	4.207677165	0.35673921	2.048388323	31.13688145	0.173155076	77.3	771.9	94.9	57.2	28.3
B6_3A	29.52539167	118.9302611	B6	B6_3	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.06	2.977362205	0.247668566	2.052287318	33.29566091	0.239235901	59.6	439.1	29.4	23.1	9.1
B6_3B	29.52537778	118.9303611	B6	B6_3	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	3.96	2.951388889	0.277130127	1.418951057	26.5540071	0.175487264	81.3	647.8	58.2	49.3	17.9
B6_3C	29.52546667	118.9303861	B6	B6_3	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.15	3.15	0.246193764	1.868576475	30.361	0.19164536	61.9	939.4	71.3	63.3	19.6
B6_3D	29.52547778	118.9302806	B6	B6_3	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	4.01	2.920792079	0.224436481	1.865675547	34.5864116	0.181343494	66	1104.1	42.4	54.5	15.4
B6_4A	29.525425	118.9321556	B6	B6_4	28	7523.42953	479759.1014	5.681023222	47.97591014	31.8118	950.3457889	3.87	2.108134921	0.214876532	1.269795217	19.26691959	0.167664228	75.1	1023	39.6	32.2	19.6
